TABLE 3 FORMAL ENTERPRISES BY CATEGORIES AND STATE,,,,,,,,,,,,,,,,
State,Micro(2020),Micro(2017),Micro(2013),Small(2020),Small(2017),Small(2013),Small(2010),Medium(2020),Medium(2017),Medium(2013),Medium(2010),,,,,
Abia,9136,959803,904721,12982,2289,1769,526,1923,53,40,7,,,,,
Adamawa,7126,689571,1319607,14252,726,1257,235,1069,8,99,11,,winsorisation mean,winsorisaton,,
Akwa - Ibom,12631,1357412,1223395,14316,1882,898,275,2947,5,195,39,,,calculate percentile for micro 2013,,
Anambra,6461,1233676,944503,9230,1455,1620,656,1452,49,117,81,,,4th percentile,426208.76,426208.76
Bauchi,12718,1016997,541332,13585,2209,2039,497,1734,32,27,49,,,95th percentile,9978374.8,9978374.8
Bayelsa,6963,1016997,1479145,4764,297,354,134,1099,3,72,33,,,,,
Benue,9479,1016997,921256,13271,1783,1146,357,1580,28,22,16,,,,,
Borno,10694,1016997,1536158,8148,498,1257,131,509,40,99,37,,,,,
Cross River,8658,1016997,577216,14560,1417,1126,318,1181,39,168,47,,,,,
Delta,9819,1016997,898084,23846,1470,1444,576,2805,54,-,33,,,,,
Ebonyi,5723,1016997,964179,12161,2404,1206,232,1788,29,4,12,,,,,
Edo,7031,1016997,1064893,9281,2633,1879,899,844,44,118,29,,,,,
Ekiti,9216,1016997,527230,17510,926,903,280,1452,2,126,5,,,,,
Enugu,8759,1016997,1296386,9681,1404,812,402,922,28,99,30,,,,,
Gombe,6485,1016997,820001,19454,876,1043,225,1452,28,65,31,,,,,
Imo,5009,1016997,1635453,7632,1976,1259,534,716,44,135,40,,,,,
Jigawa,6625,1016997,1794358,12256,2360,1022,217,1656,10,75,14,,,,,
Kaduna,10568,1016997,1216604,19694,2574,2712,1137,1921,76,170,145,,,,,
Kano,24790,1016997,692104,39994,2298,7790,1740,2975,143,496,69,,,,,
Katsina,19846,1016997,967431,20287,1335,1256,464,1323,32,99,70,,,,,
Kebbi,4751,1016997,717909,9162,809,898,221,679,6,91,11,,,,,
Kogi,7686,1016997,3224324,12078,1011,827,328,439,16,17,11,,,,,
Kwara,10565,1016997,382086,24752,1398,164,415,604,18,62,28,,,,,
Lagos,38005,1016997,977240,37135,8042,11044,4146,4932,354,619,389,,,,,
Nasarawa,7905,1016997,1165848,10163,2586,1098,387,565,18,22,32,,,,,
Niger,9205,1016997,1026770,22092,2074,1258,433,1105,47,100,46,,,,,
Ogun,14010,1016997,1356174,29265,2394,1690,506,1868,71,104,40,,,,,
Ondo,7523,1016997,1864954,6771,2324,1805,596,1128,39,194,18,,,,,
Osun,7265,1016997,786504,18565,2995,2247,100,404,12,25,33,,,,,
Oyo,15870,1016997,1749911,30417,6039,7468,1300,1322,92,519,94,,,,,
Plateau,7764,1016997,700106,19087,1533,2070,613,2265,41,110,49,,,,,
River,26365,1016997,513973,40467,1593,2981,662,1839,65,41,60,,,,,
Sokoto,9537,1016997,722360,11444,691,631,562,2670,161,210,19,,,,,
Taraba,7471,1016997,482365,9606,916,891,242,1452,14,69,5,,,,,
Yobe,7346,1016997,36994578,7346,99,1257,150,1933,3,99,5,,,,,
Zamfara,9191,1016997,426209,13587,1222,577,341,1452,14,16,33,,,,,
FCT,10095,1016997,426209,18408,2750,2244,427,4453,75,446,80,,,,,
Total,398291,1016997,73989158,617249,71288,68171,21264,53198,1793,4673,1652,,,,,
Median,9136,1016997,967431,13587,1593,1257,415,1452,32,99,33,,,,,
