TABLE 36. E-COMMENCE BY SECTOR/ Enterprises Operating Online Businesses by Sector,,,,,,,,,,
,,,,,,,,,,
E_Commerce_by_Sector,Micro,SME(2020),Overall_Number_Of_Enterprise,,,,,,,
Manufacturing,86739,39943,278985,,,,,,,
Mining & Quarrying,57227,1502,4632,,,,,,,
Accomodation & Food Services,50423,19506,90572,,,,,,,
Wholesale/ Retail Trade,213759,5539,27401,,,,,,,
Wholesale / Retail Trade,617988,51514,313774,,,,,,,
Construction,28104,6556,21500,,,,,,,
Transport & Storage,32893,4171,15004,,,,,,,
Information And Communication,70144,7721,24832,,,,,,,
Education,10677,23007,133697,,,,,,,
"Administrative And Support Service
Activities",16699,10973,43510,,,,,,,
"Arts , Entertainment And Recreation",90569,4167,16680,,,,,,,
"Water Supply , Sewerage , Waste Management
And Remedation Activities",4773,0,1321,,,,,,,
Real Estate Activities,57227,4304,19688,,,,,,,
Human Health & Social Works,14241,8186,49842,,,,,,,
"Professional , Scientific And Technical
Works",63670,22458,94227,,,,,,,
Others Services Activities,238316,14661,105300,,,,,,,
