TABLE 11: TOTAL EMPLOYMENT BY STATE AS AT DECEMBER 2020,,,,,,,,,,,
State,Male(Micro),Female(Micro),Male (2020),Female(2020),Male(2017),Female(2017),Male(2013),Female(2013),Male(2010),Female(2010),
Abia,1093463,874947,66931,73182,38817,53925,28851,11062,17575,5412,
Adamawa,873835,550771,103370,43444,22413,6536,21987,13798,6045,5265,
Akwa - Ibom,1101991,1062345,106524,96419,28213,46546,11226,33069,6838,16181,
Anambra,741653,699395,49841,54148,19840,39776,20570,9781,12530,4786,
Bauchi,1282225,23426,132151,42778,66738,21665,26460,30624,16118,14984,
Bayelsa,325322,293108,69840,45703,4669,7214,4451,10829,2711,5299,
Benue,1147627,819527,126499,93638,39975,31625,22961,466,13987,228,
Borno,873835,550771,110500,30044,15037,6198,21987,13798,8000,11000,
Cross River,804170,643940,123567,122386,31592,25979,12156,30973,7405,15155,
Delta,533737,1869839,157959,150555,28618,31694,21013,10884,12800,5325,
Ebonyi,889667,240756,84415,109453,41798,54531,24223,6000,14756,2936,
Edo,755873,527277,92247,59061,61024,44793,36291,11877,22107,5811,
Ekiti,716777,723993,101375,87551,21264,15417,11935,26548,7270,12990,
Enugu,855020,601920,75140,97728,29020,27626,12687,15603,7729,7634,
Gombe,1659926,172505,106251,57865,27717,7935,15433,8384,9401,4102,
Imo,858003,602331,66305,75129,26970,53095,14924,26315,9091,12876,
Jigawa,778176,161931,138001,21199,31514,9476,17979,9315,10952,4558,
Kaduna,2071929,295531,215158,89038,77076,48663,30645,83487,18667,30850,
Kano,2009734,327544,235225,91883,113293,35860,46941,29343,28594,14357,
Katsina,1682090,273144,146074,49835,49034,4797,23404,11993,14257,5868,
Kebbi,1034035,59897,77706,33254,27625,4487,17492,3027,10655,1481,
Kogi,2897835,1312771,75983,54901,29405,11122,11536,9432,7027,4615,
Kwara,438935,574264,80949,74517,31607,24372,1572,10596,958,5185,
Lagos,2379713,3197299,351088,308331,182246,149697,161017,176406,80084,80315,
Nasarawa,348701,164964,95705,61827,56135,46833,19219,20144,11708,9856,
Niger,725552,246391,93966,72477,48413,35425,17559,1397,10696,684,
Ogun,1004908,747949,100921,98977,56300,41135,26725,9548,16280,4672,
Ondo,282442,845032,94414,80386,58676,34673,27500,20144,16752,9856,
Osun,547016,1049513,115429,74755,72322,46495,39059,16534,23793,8090,
Oyo,1664976,1837567,115566,90883,104095,138660,147200,59501,89668,29114,
Plateau,911418,288342,107759,83848,31406,30863,33855,39822,20623,19485,
River,1158797,1395049,248584,237226,30368,35519,46055,43665,28055,21365,
Sokoto,1048176,31105,128060,53240,19478,14199,10761,20144,6555,9856,
Taraba,509727,51712,103170,47672,22565,14180,14990,3493,9131,1709,
Yobe,873835,550771,109419,32478,3194,827,21987,13798,10000,16000,
Zamfara,721057,239717,121033,35166,35998,12769,46565,4192,28365,2051,
FCT,295696,304993,134064,109422,50232,40418,30645,65323,18667,20962,
