Educational_Qualifications_of_Owners,Number_of_Owners,,,,,,,,,,,,,
No Education,"9,584,976",,,,,,,,,,,,,
Below Primary,"1,486,334",,,,,,,,,,,,,
Primary,"8,721,153",,,,,,,,,,,,,
JSS,"3,038,119",,,,,,,,,,,,,
Wholesale/ Retail Trade,"362,742",,,,,,,,,,,,,
SSS,"12,430,208",,,,,,,,,,,,,
NCE/OND/Nursing,"2,234,102",,,,,,,,,,,,,
B. Sc./ B. Art / HND,"1,526,270",,,,,,,,,,,,,
M.Sc. / M. Art/ M. Amin,"61,261",,,,,,,,,,,,,
Others,"834,246",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
