TABLE 103: AVERAGE MONTHLY SALES/TURNOVER,,,,,,,,,,,,,,,
Average_Monthly_Sales,Micro(2012),Micro(2013),SME(2020),SME(2017),,,,,,,,,,,
Below 50,24656347,24965245,4759182,25210736,,,,,,,,,,,
50 -100,3412223,4556715,7193413,8158255,,,,,,,,,,,
101 - 200,1749237,2129017,2919171,3117392,,,,,,,,,,,
201 - 300,598229,804493,1200657,1224748,,,,,,,,,,,
301 - 400,245536,364912,501611,455722,,,,,,,,,,,
401 - 500,126517,162059,561797,562191,,,,,,,,,,,
501 - 600,83124,91289,265848,124270,,,,,,,,,,,
601 -700,33560,68965,98045,127931,,,,,,,,,,,
701 - 800,83938,91741,111900,109023,,,,,,,,,,,
801 - 900,48556,63779,107176,44409,,,,,,,,,,,
901 - 1000,70022,78678,150378,109945,,,,,,,,,,,
Above 1000,254472,355163,541127,297015,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
