Table 33 Average Monthly Sales Turnover by Economic Sector,,,,,,,,,,,,,,,
Sector,Micro(2012),Micro(2013),SME(2017),SME(2013),,,,,,,,,,,
Manufacturing,5775607,7612399,16804593,7612399,,,,,,,,,,,
Minning & Quarrying,4224549,4949013,2395875,4949013,,,,,,,,,,,
Accommodation & Food Services,5304885,3016532,27503550,3016532,,,,,,,,,,,
Agriculture,111820382,125801443,110986034,125801443,,,,,,,,,,,
Wholesale/ Retail Trade,9258141,10406487,22928087,10406487,,,,,,,,,,,
Construction,25334497,29408581,44635672,29408581,,,,,,,,,,,
Transport & Storage,10168860,13652849,9506204,13652849,,,,,,,,,,,
Information And Communication,10363839,9450967,8770143,9450967,,,,,,,,,,,
Education,1899120,2243500,3620161,2243500,,,,,,,,,,,
Administrative And Support Activities,2546730,10345168,9125516,10345168,,,,,,,,,,,
"Arts, Entertainment And Recreation",4835960,5788754,2586232,5788754,,,,,,,,,,,
Others Services Activities,1238283,2265854,5285175,2265854,,,,,,,,,,,
"Water Supply, Sewerage, Waste Management And Remediation Act",2033180,2282024,1741250,2282024,,,,,,,,,,,
Real Estate Activities,5304885,550771,1808001,7612399,,,,,,,,,,,
Human Health & Social Works,5304885,550771,23714355,7612399,,,,,,,,,,,
"Professional , Scientific And Technical Works",5304885,550771,24814971,7612399,,,,,,,,,,,
