TABLE 15:     SKILLS GAP BY SECTOR,,,,,,,,,,
Sector,Qualified_Artisans_Readily_Available(Micro),Qualified_Artisans_Not_Readily_Available(Micro),Qualified_Artisans_Readily_Available(2020),Qualified_Artisans_Readily_Available(SME),,,,,,
Manufacturing,2798249,2073256,148891,8386,,,,,,
Mining & Quarrying,24316,46127,2705,198,,,,,,
Accomodation & Food Services,978659,1055046,51385,5495,,,,,,
Wholesale/ Retail Trade,2066890,1232412,14899,3821,,,,,,
Wholesale/ Retail Trade,10737633,9394963,148954,9235,,,,,,
Construction,487428,242244,13493,470,,,,,,
Transport & Storage,973152,784490,7779,605,,,,,,
Information And Communication,185804,142309,13728,362,,,,,,
Education,51345,53075,71978,18904,,,,,,
Administrative And Support Service Activities,10154464,59259,24518,2215,,,,,,
"Arts, Entertainment And Recreation",260392,130216,9284,178,,,,,,
"Water Supply, Sewerage, Waste  Management And Remedation Activities",5189,2686,1024,10,,,,,,
Real Estate Activities,973152,550771,12122,3821,,,,,,
Human  Health  &  Social Works,973152,550771,30616,3821,,,,,,
"Professional, Scientific And Technical Works",973152,550771,57460,2613,,,,,,
Others Services Activities,1651146,1189502,59602,997,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
